user_id,rec_i
112,"[917033, 9527159, 910473, 1062128, 892531]"
113,"[854754, 1070820, 909268, 947201, 976199]"
114,"[5568489, 948670, 882604, 10344585, 856942]"
115,"[1101010, 983584, 12648296, 1018007, 892531]"
116,"[5569471, 917033, 1016800, 5569374, 5569230]"
117,"[940947, 909268, 866871, 999104, 948670]"
118,"[893018, 1048257, 909268, 1006184, 1127831]"
119,"[923670, 995478, 1002771, 986912, 856942]"
120,"[1029743, 1106523, 5569230, 916122, 844179]"
121,"[989069, 1035676, 972143, 9836106, 1122358]"
122,"[940947, 5569230, 863447, 1132771, 823990]"
123,"[1038985, 1056509, 5569374, 1126899, 8090532]"
124,"[1037840, 892531, 1115175, 957063, 926905]"
125,"[916990, 965772, 1067695, 8090532, 8090513]"
127,"[1075368, 865456, 940947, 983584, 854852]"
128,"[1098248, 1082185, 6548453, 901062, 835098]"
131,"[1098284, 1075214, 1044188, 982469, 948670]"
132,"[1108094, 999198, 825365, 839656, 854852]"
133,"[1132771, 1062002, 9242918, 830503, 1101706]"
135,"[854754, 5569374, 885863, 933835, 1075214]"
136,"[8090539, 8090509, 8090521, 949965, 8090537]"
138,"[819978, 1122358, 5590613, 1101706, 1101010]"
139,"[1057102, 1021324, 907099, 8090532, 8090539]"
142,"[1082212, 1131438, 1074754, 948670, 838186]"
143,"[12731714, 5569230, 1102416, 5569845, 1050851]"
144,"[5585510, 910473, 925862, 999779, 1026118]"
145,"[5569471, 1082185, 5568249, 8090532, 6533936]"
147,"[916990, 965772, 8090539, 1067695, 913210]"
148,"[5568489, 825994, 883003, 1136719, 1138443]"
149,"[6533936, 913210, 1138443, 883003, 5568729]"
151,"[953561, 1101706, 8090536, 6602697, 948086]"
152,"[1092303, 879504, 5569374, 907099, 1108094]"
153,"[934639, 1062128, 1122358, 1069003, 897954]"
154,"[1102416, 1074333, 1019643, 931255, 965267]"
155,"[971922, 908318, 7441210, 865705, 12648296]"
156,"[1016800, 1075368, 1043494, 982790, 1051323]"
157,"[1083446, 838186, 949294, 1098844, 913210]"
158,"[12731714, 1128240, 871611, 1135258, 910473]"
159,"[1046587, 1074333, 1002850, 1131344, 1082212]"
160,"[1135834, 1070820, 986912, 1101010, 1087102]"
161,"[1051323, 957063, 1050851, 1108094, 8090532]"
162,"[1122358, 964521, 1022428, 1038985, 1034176]"
163,"[6533936, 944137, 909268, 999198, 857006]"
164,"[957736, 1102416, 1121393, 871611, 983584]"
165,"[1070820, 944534, 896613, 5568249, 857503]"
166,"[1075368, 944486, 825365, 933835, 1106523]"
167,"[833724, 1058404, 908318, 1048257, 1002850]"
171,"[1016800, 998119, 913210, 931255, 983584]"
172,"[969568, 823704, 907099, 906838, 832678]"
175,"[1070272, 995478, 823775, 1046545, 1000237]"
177,"[10344585, 901666, 1043787, 866871, 916993]"
178,"[949023, 1040807, 1097001, 7168026, 827656]"
180,"[1013928, 8177622, 5587656, 5590613, 830503]"
182,"[1083787, 1106271, 8090537, 8090532, 5568197]"
183,"[961979, 8090440, 1125278, 993638, 982469]"
184,"[6533936, 896085, 1075368, 1046756, 895295]"
185,"[1101010, 944534, 8273833, 8090537, 1038985]"
188,"[1127758, 1099089, 832678, 1025611, 944534]"
189,"[986912, 1083787, 1043751, 999714, 904129]"
191,"[6632283, 1002850, 960732, 5592931, 1102067]"
192,"[1082212, 1002771, 1002850, 5569230, 9835509]"
193,"[983584, 8090537, 1067695, 944139, 957736]"
194,"[6391381, 951412, 1051468, 1112238, 854852]"
195,"[1062128, 947201, 1101010, 1018007, 1042942]"
196,"[1037840, 926905, 910473, 1000753, 9296919]"
197,"[9881593, 1126899, 963835, 838186, 892531]"
198,"[931255, 1037840, 5570383, 907631, 1000753]"
199,"[1082212, 1115576, 863447, 1132771, 10149640]"
200,"[823990, 1038985, 1042942, 832678, 931255]"
201,"[1138292, 838186, 6034857, 972665, 1056509]"
203,"[1082990, 901776, 5569471, 1012587, 865174]"
204,"[923670, 6034857, 872137, 1070845, 827656]"
205,"[1082185, 1026118, 910032, 1106523, 1072523]"
206,"[926905, 999779, 982790, 957951, 1101010]"
207,"[976199, 1026118, 951412, 854754, 1028891]"
208,"[1055425, 879504, 885290, 865456, 944836]"
209,"[957951, 983584, 819978, 1042544, 8090532]"
210,"[910473, 1051323, 999779, 1013928, 944534]"
211,"[856942, 1006878, 832678, 907099, 945662]"
212,"[6533362, 8177622, 856942, 8090536, 998206]"
214,"[833724, 1019643, 944836, 1055425, 999104]"
215,"[871611, 985999, 938300, 6533936, 916993]"
216,"[6533936, 8203834, 986912, 906844, 1040807]"
217,"[1040807, 986912, 999104, 1018740, 5569471]"
218,"[1097001, 965772, 878715, 1115175, 1112238]"
219,"[879504, 5568447, 1132771, 1127831, 7168026]"
220,"[1016800, 926905, 912704, 839419, 907099]"
221,"[1043751, 819978, 1137775, 1018740, 935317]"
222,"[999779, 5585510, 865174, 1094308, 866211]"
223,"[904129, 1074333, 910673, 1083787, 5582712]"
224,"[1037840, 1038663, 1056509, 5587656, 1016800]"
225,"[857503, 839243, 882604, 1020581, 1137346]"
226,"[1102416, 1042942, 832678, 865174, 1037840]"
227,"[890695, 1029743, 1106523, 5569230, 916122]"
228,"[5569471, 8177622, 854754, 1055504, 1126899]"
230,"[8090532, 913210, 8090537, 6534030, 833724]"
232,"[1016800, 1067695, 913210, 850102, 10344585]"
233,"[1098844, 995965, 1128016, 872137, 859427]"
235,"[983584, 1070820, 1121384, 1062128, 1055425]"
236,"[906838, 1126899, 944836, 849202, 1121384]"
237,"[1074754, 5569471, 833724, 5590613, 5587656]"
238,"[1102416, 948670, 947201, 906844, 1075368]"
239,"[948670, 1018740, 993638, 1101010, 862799]"
240,"[926905, 909268, 1022428, 1106523, 1029743]"
242,"[865174, 971922, 1137775, 832678, 999104]"
243,"[1126899, 6034857, 901062, 930118, 991223]"
244,"[834117, 913210, 5578547, 846823, 8273833]"
245,"[1132771, 983584, 1035676, 957232, 1137775]"
246,"[1070820, 1082212, 839656, 9245106, 5582712]"
247,"[1044188, 986912, 8090537, 901062, 1019247]"
248,"[1062002, 9881593, 946995, 913210, 1126899]"
249,"[1038663, 983584, 999779, 871611, 933067]"
250,"[910473, 947201, 1056509, 1128016, 963835]"
251,"[1040807, 1075368, 907631, 1070820, 1043494]"
253,"[832678, 1012587, 910673, 933835, 1127758]"
254,"[1106523, 990797, 1022254, 857503, 916122]"
255,"[1115576, 1006878, 1082212, 5569230, 946839]"
256,"[10344585, 1101706, 906844, 948670, 824180]"
257,"[1093413, 1038663, 1127758, 1051323, 999779]"
258,"[1048257, 1070820, 1015539, 1062002, 1103105]"
259,"[1062128, 6391381, 8090537, 940947, 1028995]"
260,"[1019643, 1092303, 849202, 971922, 859427]"
261,"[981086, 9881593, 865456, 8090521, 823704]"
262,"[1040807, 971922, 926905, 1101010, 1132771]"
263,"[940947, 998206, 5585510, 910032, 1029743]"
267,"[902172, 1106523, 1029743, 1106523, 5569230]"
269,"[1131438, 1028891, 5569845, 862799, 906838]"
271,"[8090532, 986912, 1135834, 1137775, 1018740]"
273,"[6534480, 1137346, 1070272, 1021324, 933067]"
275,"[1050851, 1104349, 1106523, 832678, 824180]"
276,"[944534, 1051323, 999779, 993638, 991223]"
277,"[917033, 1016800, 926905, 1037840, 1013928]"
278,"[1138292, 1070845, 1046756, 909268, 902172]"
279,"[1082212, 944534, 940947, 919534, 847573]"
280,"[6602729, 999270, 916990, 1000753, 1019247]"
281,"[999104, 934399, 1070820, 854852, 5585510]"
282,"[957736, 5569374, 1043787, 947201, 909714]"
283,"[1108094, 940947, 5569471, 901776, 990797]"
285,"[944534, 944486, 1071342, 1127758, 12262978]"
286,"[1072968, 966684, 1135834, 1055504, 866211]"
287,"[5568729, 1072968, 1106523, 1038985, 895166]"
288,"[1026118, 1070820, 1092303, 1082185, 1127179]"
289,"[909714, 998444, 909268, 925862, 1051468]"
290,"[1013928, 1012587, 1085983, 1043494, 999779]"
291,"[983584, 824180, 832678, 5568378, 910673]"
292,"[1013928, 8090509, 8090521, 986912, 8090536]"
293,"[829852, 8291322, 846823, 8203834, 908318]"
294,"[834117, 983584, 1050851, 8090539, 838186]"
297,"[1075368, 12648296, 1097001, 907631, 874972]"
300,"[944534, 12301839, 832678, 1025581, 1106523]"
301,"[1074333, 5582712, 825994, 819978, 874972]"
302,"[892531, 1027168, 5569327, 5570383, 1115175]"
303,"[8090509, 1040807, 854852, 1102416, 856942]"
304,"[865174, 1051211, 871061, 8090532, 1122358]"
305,"[885290, 8090532, 6602729, 1005274, 1034176]"
306,"[6534480, 5569374, 1069003, 944534, 1056509]"
307,"[993638, 961979, 1083787, 1135258, 1127758]"
308,"[1043787, 963835, 887102, 8203834, 1134810]"
311,"[944137, 8090513, 907099, 1106523, 878996]"
314,"[1009187, 872137, 995965, 893018, 865528]"
316,"[1025611, 885290, 1122358, 859154, 5592931]"
317,"[983584, 12171656, 1043787, 1070845, 1135834]"
318,"[1021324, 5569230, 12301100, 7441210, 949023]"
319,"[1019247, 976199, 1101010, 1051211, 990797]"
320,"[8090539, 832678, 8090532, 12731436, 1069003]"
321,"[944836, 1126899, 1056509, 5567702, 1075214]"
322,"[1040807, 854754, 819978, 859427, 1070820]"
324,"[1051468, 901062, 1070820, 854754, 5570383]"
325,"[5569471, 1048257, 8177622, 885863, 1037840]"
326,"[1037840, 1137346, 1013928, 8090521, 850102]"
328,"[885290, 1070820, 892531, 1092303, 1048257]"
329,"[944836, 854852, 948670, 1022097, 1127831]"
331,"[1044188, 833724, 1051211, 9835509, 1075368]"
332,"[1070820, 5569374, 1042942, 952972, 976199]"
334,"[896085, 1082185, 1062002, 999104, 5574377]"
335,"[1075368, 1104349, 934399, 1098844, 944137]"
338,"[1026118, 1082185, 1004906, 1009187, 835098]"
339,"[896085, 1042942, 998206, 865456, 1106523]"
341,"[1101706, 912704, 906838, 892314, 1022097]"
342,"[832678, 1082212, 1055504, 935317, 989069]"
343,"[1092588, 872137, 951412, 871611, 5568489]"
345,"[6602697, 995628, 6602729, 940947, 999104]"
346,"[1101010, 819978, 835098, 1083446, 1062002]"
347,"[823775, 910473, 944486, 1100972, 1102067]"
348,"[1127758, 1074333, 1025611, 5590613, 1044188]"
349,"[907099, 1043751, 1126899, 5569471, 5569374]"
350,"[944137, 1097001, 7168026, 883003, 12810464]"
351,"[892573, 865456, 838186, 948670, 995896]"
353,"[839656, 1134810, 1082212, 944139, 1022254]"
354,"[926905, 849202, 1050851, 1097001, 971922]"
356,"[1075368, 834117, 986912, 1127716, 913210]"
357,"[1122358, 1126899, 1062128, 880150, 1040807]"
358,"[5568489, 5569230, 949294, 1043787, 872137]"
360,"[6602729, 5568378, 5569327, 904129, 839419]"
361,"[1101010, 1082212, 1056509, 917033, 6533936]"
362,"[12731714, 910473, 1127831, 993638, 986912]"
364,"[850102, 1106523, 923670, 982790, 1102416]"
365,"[1062128, 1132771, 1136719, 953561, 1085983]"
367,"[6533936, 6442594, 833724, 823775, 1070820]"
368,"[6533936, 1083446, 1037840, 6534077, 1122358]"
371,"[919423, 957736, 1058404, 6533608, 1062002]"
374,"[1108094, 1037840, 993638, 901062, 1026118]"
375,"[8090532, 850102, 862799, 1022097, 8090537]"
376,"[986912, 5590613, 993638, 1050851, 1043494]"
377,"[1126899, 1082212, 880150, 827656, 944534]"
378,"[916990, 1035676, 948670, 1070702, 944534]"
380,"[1098284, 965766, 1135834, 1013928, 1012587]"
381,"[1075368, 1128016, 1051323, 1034176, 878715]"
382,"[999250, 963835, 5569374, 7168026, 825994]"
384,"[1075368, 1055504, 1104349, 1055425, 1126899]"
385,"[1087102, 1122358, 878715, 951412, 909714]"
386,"[998206, 1083787, 12302069, 8090532, 8090521]"
387,"[8090536, 1126899, 1046756, 6602729, 1121384]"
388,"[6463775, 893018, 1074333, 854405, 8273833]"
389,"[1126899, 10344585, 8090536, 9835509, 916993]"
390,"[993638, 1040807, 843464, 5569230, 5585510]"
392,"[951412, 963835, 907099, 940947, 1092588]"
393,"[1013928, 1031316, 1102416, 838186, 1138292]"
394,"[6391381, 1026118, 8203834, 986912, 901776]"
395,"[906844, 957951, 5569230, 854852, 1021324]"
396,"[1075368, 1087102, 831628, 1126899, 1070702]"
397,"[892573, 931255, 1126899, 1043787, 1050851]"
398,"[5981072, 1022097, 1122358, 1043751, 1037840]"
399,"[849202, 1075368, 999714, 896862, 957951]"
400,"[5567702, 8090536, 907099, 906844, 865705]"
401,"[1127758, 993638, 6602697, 1070272, 986912]"
402,"[892573, 819978, 1000237, 827656, 12171656]"
403,"[1130375, 944534, 880150, 863447, 871061]"
404,"[1092588, 1046756, 951412, 831628, 946995]"
405,"[948670, 1101010, 1087102, 935317, 13189726]"
406,"[5578547, 1057102, 823775, 6391381, 1043787]"
408,"[1065538, 1034176, 903800, 862799, 1132771]"
409,"[8090513, 1070820, 979707, 8090532, 880427]"
410,"[819308, 1127758, 871611, 10344585, 948650]"
411,"[5569374, 1044188, 5574377, 1075368, 946839]"
412,"[986912, 1005274, 901776, 944534, 995628]"
413,"[986912, 1082185, 1026118, 1038985, 1048257]"
414,"[1082212, 940947, 1051211, 972143, 971922]"
415,"[9553288, 1029743, 1106523, 5569230, 916122]"
417,"[1055504, 5578547, 903800, 1127831, 1082185]"
418,"[971922, 940947, 1135834, 1051468, 12988031]"
419,"[1102416, 5567702, 1082185, 933835, 5585510]"
420,"[1059902, 865705, 897954, 995965, 982469]"
421,"[827656, 6463775, 986912, 896613, 1126899]"
424,"[833724, 6533936, 1040807, 849202, 917033]"
425,"[843464, 5569327, 1106271, 896862, 913210]"
426,"[965842, 1121393, 854754, 972665, 1000237]"
427,"[1082185, 1102416, 993638, 986912, 5569471]"
430,"[1070845, 983584, 1048257, 1075368, 5569230]"
431,"[1070820, 834117, 993638, 913210, 948670]"
432,"[1075368, 1013928, 6534077, 961979, 871061]"
433,"[1082185, 925862, 1106523, 996070, 1068292]"
434,"[1046587, 934639, 1068292, 895166, 1102067]"
435,"[5569471, 8177622, 8090532, 5569230, 5569845]"
436,"[934399, 998444, 902172, 5569845, 9296919]"
437,"[917033, 1101010, 948670, 993638, 5568447]"
438,"[9881593, 917033, 1016800, 1070820, 1138292]"
439,"[1037840, 1031316, 1020581, 12301100, 1075368]"
441,"[1038985, 906844, 6602729, 1019247, 6602697]"
442,"[1126899, 907099, 982790, 998444, 1121393]"
443,"[6602729, 6533362, 1019247, 1131344, 1056509]"
445,"[1126899, 1137346, 8090521, 1006878, 872137]"
446,"[1044188, 954966, 1136719, 957951, 1029743]"
447,"[926905, 1012587, 5587656, 5569327, 1046587]"
448,"[1132771, 995965, 1128016, 1138443, 999104]"
449,"[982790, 965766, 8090536, 8177622, 1034176]"
450,"[998206, 1093413, 933835, 993638, 1013928]"
451,"[910473, 1026118, 934639, 1068292, 925862]"
452,"[1137346, 986912, 896613, 910673, 917816]"
454,"[1026118, 1083787, 5569230, 1059902, 1138292]"
456,"[8090536, 1108094, 5569845, 997796, 1006878]"
457,"[1051323, 1050851, 1042942, 1122358, 957232]"
458,"[916993, 993638, 901776, 12810391, 926905]"
459,"[885290, 986912, 1115576, 12731436, 936355]"
460,"[963835, 1089954, 1130375, 1127179, 1098844]"
461,"[1050851, 819308, 10344585, 976199, 1093413]"
462,"[944534, 921504, 1038985, 1137775, 1105917]"
463,"[1055504, 1051516, 857006, 948670, 1082185]"
464,"[5569374, 993638, 923670, 8065410, 999270]"
466,"[1025611, 1101706, 1068719, 1046756, 944137]"
467,"[1025611, 1072523, 865026, 854754, 951412]"
468,"[1098284, 1044759, 1042544, 1122358, 1094308]"
469,"[8203834, 849202, 951412, 901062, 1098248]"
470,"[947201, 896862, 989069, 12811532, 13189726]"
471,"[1119405, 999104, 8090541, 823775, 8090537]"
472,"[1102416, 10149640, 1128016, 901062, 1002771]"
473,"[1038985, 1056509, 1019247, 838186, 1122358]"
474,"[1103105, 831628, 934639, 1068292, 9835903]"
475,"[1075368, 972665, 1115576, 5569845, 5568489]"
476,"[7442008, 1137346, 8090521, 12302069, 8090541]"
477,"[1126899, 964521, 1134810, 1103105, 12302069]"
479,"[1037840, 986912, 907631, 893018, 6533936]"
480,"[854754, 5569471, 5563693, 857503, 5569374]"
481,"[1051323, 1075368, 931255, 5569374, 965766]"
482,"[910673, 5585510, 1074333, 999779, 846823]"
483,"[8090536, 1122358, 5569374, 8090532, 999779]"
484,"[946839, 1050851, 839656, 880427, 910473]"
485,"[957736, 972665, 1083787, 1098248, 6533608]"
486,"[1051323, 925862, 1119761, 1041796, 916122]"
487,"[1029743, 1106523, 5569230, 916122, 844179]"
488,"[1026118, 1072523, 901062, 833724, 896613]"
489,"[1019247, 986912, 1043787, 5569374, 901062]"
490,"[1075368, 5569471, 5569845, 907631, 1083446]"
491,"[6533936, 1055504, 1126899, 909268, 1006184]"
493,"[8090539, 936355, 948086, 982790, 839656]"
495,"[12810391, 8090521, 838186, 8203834, 865456]"
496,"[999270, 823990, 8090532, 944534, 925862]"
497,"[8273833, 906844, 8293447, 926905, 976199]"
498,"[1028891, 947201, 12171656, 1112238, 910473]"
501,"[8090532, 957232, 866355, 965766, 838186]"
502,"[5568489, 1068292, 972143, 956486, 1042438]"
503,"[8090536, 1119405, 1070820, 1127716, 1013167]"
505,"[6395907, 1127716, 12648296, 1018007, 874972]"
506,"[1062128, 1136719, 824758, 1035676, 1050851]"
507,"[1127716, 1044259, 1121384, 825994, 845307]"
510,"[833724, 944836, 1055425, 8203834, 901062]"
511,"[1067695, 986912, 999779, 944139, 957736]"
512,"[1101010, 999270, 823704, 910473, 899624]"
513,"[865026, 5569471, 1018740, 1102416, 1093413]"
514,"[1062002, 909714, 1127831, 866211, 878996]"
515,"[8090521, 5585510, 1034176, 1051323, 7139529]"
517,"[1126899, 1062128, 872137, 892531, 951412]"
518,"[1031316, 1075368, 1038985, 1097001, 1137775]"
519,"[907099, 919423, 865705, 957736, 872137]"
520,"[8090537, 1101010, 1043751, 5569845, 1104343]"
521,"[1026118, 8090440, 1024306, 6548453, 957736]"
523,"[968072, 1104349, 919423, 9835509, 1062128]"
524,"[1082185, 1098248, 930118, 1062002, 1098844]"
525,"[883003, 1040807, 1104343, 829852, 6602697]"
526,"[1062128, 913210, 834117, 5569230, 882604]"
527,"[12988031, 1051211, 845307, 1128016, 901062]"
528,"[907099, 5585510, 866871, 1048257, 887102]"
530,"[906844, 839656, 946839, 976199, 8293447]"
532,"[878715, 850102, 1065538, 849202, 1057102]"
534,"[1124695, 832678, 1135834, 972665, 986912]"
536,"[1051211, 949965, 940947, 1041796, 893018]"
537,"[1065538, 1072523, 1034176, 1137775, 907631]"
538,"[1082212, 1070820, 906838, 1119405, 9296919]"
539,"[878715, 862799, 991223, 5569374, 856252]"
540,"[1000237, 6391381, 995965, 859427, 6602729]"
541,"[1106523, 1122358, 951197, 838186, 1046545]"
542,"[1082990, 1050851, 1075368, 1106523, 1130375]"
543,"[8090521, 1000753, 12349795, 12301405, 944534]"
544,"[1006184, 8090536, 12946027, 890695, 865174]"
545,"[1040807, 986912, 1055504, 6034857, 1100972]"
548,"[948086, 1101706, 849202, 1062128, 829852]"
550,"[835098, 819308, 5585510, 1043751, 957232]"
551,"[1070702, 907099, 934399, 831628, 1126899]"
553,"[849202, 1075368, 1040807, 8090532, 879504]"
554,"[850102, 982469, 824180, 892531, 946839]"
557,"[6602729, 5569471, 1126899, 8090513, 857503]"
558,"[833724, 10149640, 1106523, 893018, 5585510]"
560,"[999104, 926905, 907099, 1029743, 933835]"
561,"[909268, 944137, 892314, 1000753, 8203834]"
562,"[957951, 8090536, 832678, 965842, 1074333]"
564,"[1055504, 1134810, 961979, 925862, 6514160]"
567,"[986912, 8090509, 993638, 847573, 1044078]"
568,"[1083787, 1038663, 5585510, 1042544, 846823]"
569,"[1062128, 1092303, 999104, 12171656, 6391381]"
570,"[874972, 12810391, 5569374, 1000753, 948670]"
573,"[1098284, 1082212, 8090521, 1028891, 1106523]"
574,"[933835, 5569374, 1050851, 1083446, 5568489]"
575,"[953561, 1000237, 963835, 1108094, 1097001]"
577,"[827656, 999104, 1056509, 948832, 892531]"
578,"[865705, 8090521, 944836, 854405, 8273833]"
579,"[1016800, 948670, 9835509, 949965, 12810391]"
580,"[1038985, 1056509, 1122358, 823775, 940947]"
581,"[1042942, 8177622, 983584, 1126899, 1128016]"
582,"[1021324, 5568489, 8090509, 5569230, 1009187]"
583,"[1037840, 1138292, 1013928, 1021324, 1058404]"
585,"[8090536, 1126899, 885290, 1005274, 878715]"
586,"[982469, 1044188, 909714, 946839, 865456]"
587,"[1106523, 1029743, 1106523, 5569230, 916122]"
588,"[1050851, 1070845, 1043494, 866355, 933835]"
590,"[944534, 965766, 9296919, 1115175, 9836106]"
591,"[926905, 933067, 1137346, 854852, 1106523]"
592,"[1070820, 1108094, 5569374, 878715, 8177622]"
593,"[879504, 1059902, 5569374, 1106523, 854852]"
594,"[8090537, 8090521, 8090509, 1013928, 957232]"
595,"[1112238, 1050851, 957951, 5569845, 1002771]"
596,"[8090537, 8090521, 1025581, 9527159, 850102]"
597,"[1025611, 1127758, 856942, 1126899, 1062002]"
598,"[8090532, 1105917, 965766, 1000237, 6034857]"
599,"[833724, 1055504, 909268, 9242918, 1110218]"
600,"[1104349, 1021324, 5568489, 1046587, 5569230]"
601,"[916990, 1126899, 982790, 983584, 854405]"
602,"[944139, 849202, 5587656, 961979, 1021116]"
603,"[1127758, 1051323, 1069003, 910673, 1038663]"
604,"[5569374, 1005274, 865026, 10149640, 1009187]"
605,"[965772, 948670, 890695, 1055425, 946839]"
606,"[1026118, 885290, 901666, 880427, 5568729]"
608,"[1013928, 910673, 1106523, 1127758, 933067]"
609,"[1104349, 5569230, 1038985, 1021324, 1122358]"
610,"[982790, 964521, 1122358, 5569327, 7441210]"
611,"[8177622, 8090536, 6534030, 12648296, 1038985]"
612,"[850102, 839656, 871061, 1138292, 1022428]"
614,"[947201, 965766, 1028995, 1067695, 902172]"
615,"[971922, 883003, 948670, 1098844, 857503]"
617,"[10344585, 1070820, 1082212, 1128016, 885290]"
618,"[1037840, 986912, 8090521, 850102, 1070820]"
621,"[1132771, 896085, 13506200, 1137775, 1101010]"
622,"[986912, 965766, 1038663, 999104, 1065538]"
623,"[1101010, 1038985, 8090532, 1028995, 1104349]"
624,"[5590613, 8090536, 8090521, 5592931, 910473]"
625,"[6602697, 1006184, 1134810, 921504, 1043787]"
627,"[1069003, 963835, 897954, 979707, 1023720]"
628,"[1037840, 1062002, 1082212, 921504, 981086]"
630,"[1106271, 1000753, 1070820, 12810391, 1056509]"
631,"[5582712, 5578547, 993638, 1022097, 1104343]"
632,"[849202, 1043751, 985999, 874972, 1028995]"
